"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/12/23 1:37 AM,"Robert Littal BSO","18823758",,"-1","en","<a href='http://BlackSportsOnline.com/home' rel='nofollow'>BSO Alert</a>","Preacher Man Devon Franklin on Feeling Some Type Way About His Ex-Wife Meagan Good Being Conquered By Jonathan Majors (Photos) https://t.co/nOBX4rjnbP https://t.co/1Mj0sYoCrO",,,14.0,"1667949171838529542"
6/4/23 10:53 PM,"Daily Loud","452540168",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Jonathan Majors & Meagan Good go shopping in Morocco?? https://t.co/EaCCmXQCUd",,,1369.0,"1665371142910013441"
6/4/23 7:16 PM,"Raphousetv (RHTV)","1363507003545456640",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Jonathan Majors & Meagan Good 'We're Taking Our Romance Overseas' Spotted
Together Shopping In Morocco????? https://t.co/vWHRf6wm7y",,,84.0,"1665316656992878592"
6/12/23 11:10 PM,"Mr. Shidded Doo Doo Pants","1589392669930831873",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","*Jonathan Majors is outed as an abusive monster*

MCU: We should probably scrub him from our plans.

*Ezra Miller is outed as an abusive monster*

DCU: Let’s put two of him in a movie",,,0.0,"1668274615641157635"
6/12/23 11:01 PM,"Church Girl","1581214567",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @TheLady_Artemis: the thing thats so nutter butters to me is that both Jonathan Majors and Tenoch Huerta are allegedly violent offenders…",,,7.0,"1668272367036973058"
6/12/23 10:55 PM,"Janel","2863793815","JanelGabby","2863793815","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Apparently Jonathan Majors was called out in white spaces for his history of abuse long before we knew.",,,0.0,"1668270757820940293"
6/12/23 10:54 PM,"Aaron not A-A-Ron","343543271",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Yeah that cootie cat on Jonathan majors now https://t.co/lXV6aMW5zY",,,0.0,"1668270517659353088"
6/12/23 10:45 PM,"THEDNE ? #????????","1628788086",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @anakinellie: the quotes really aren't getting it Discussingfilm disables comments for abusers such as Jonathan Majors and Tenoch Huerta…",,,69.0,"1668268164969373698"
6/12/23 10:43 PM,"Weeks","2166957823","TexasFBA4Ever","1283082665227321344","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","@TexasFBA4Ever @tariqnasheed @TaureanReign @BLKLiberation84 I wonder if he will get the Jonathan Majors treatment.",,,0.0,"1668267747522797571"
6/12/23 10:34 PM,"Rajib Hasan","592914280","GraceRandolph","16541021","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@GraceRandolph I guess Marvel doesn't wanna risk anything after Jonathan Majors and Tenoch Huerta fiasco",,,0.0,"1668265509341503491"
6/12/23 10:15 PM,"june26th???","1316419695566901248",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @QuanFromCT: Speaking of…has Jonathan Majors drop that proof of innocence yet? He said he had videos and we still ain’t seen it.",,,1.0,"1668260778091085827"
6/12/23 10:04 PM,"Bart (The Flash Era)","1424391738165243904","Arthur__616","1524906338643369985","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@Arthur__616 Even if Jonathan Majors is proven guilty in his trial will you still defend him just because he’s an MCU actor and you’re an MCU stan?",,,0.0,"1668257901306101762"
6/12/23 9:58 PM,"Quan ??","1004093992189997056",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Speaking of…has Jonathan Majors drop that proof of innocence yet? He said he had videos and we still ain’t seen it.",,,1.0,"1668256446025285639"
6/12/23 9:54 PM,"Madame Zo'roni??","3732429082",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @GarysBest: The fact that you gotta call that man Namor actor and Jonathan Majors just Majors should explain a lot.",,,2.0,"1668255576961236992"
6/12/23 9:50 PM,"Jeffery Davis BM most involved fathers","1655333441234259970",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @BSO: Preacher Man Devon Franklin on Feeling Some Type Way About His Ex-Wife Meagan Good Being Conquered By Jonathan Majors (Photos) htt…",,,14.0,"1668254514569199621"
6/12/23 9:40 PM,"GarysBest ??","4455433703",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","The fact that you gotta call that man Namor actor and Jonathan Majors just Majors should explain a lot. https://t.co/PgZSmoDdA3",,,2.0,"1668251857087524867"
6/12/23 9:35 PM,"Leo The Titan","1588247893198217219",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Lumping in Jonathan Majors with rapists is hilarious https://t.co/I4bVKVv2zC",,,0.0,"1668250764513271809"
6/12/23 9:29 PM,"That Chick","40712728",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Jonathan Majors and Meagan Good still going strong https://t.co/4NdULnYynM",,,0.0,"1668249098351255552"
6/12/23 9:25 PM,"Aeriona ??","1582080939542429737",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Jonathan Majors Shares His Intense Creed 3 Back and Core Workout | Train... https://t.co/d5WW7uIxBR via @YouTube 
?????",,,0.0,"1668248256852156417"
6/12/23 9:17 PM,"Two-piece Advocate","169708122",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","I’ll give you a hint: it’s the same reason you called him “Namor actor”. We don’t know Tenoch Huerta like that. Jonathan Majors is as a well-known commodity and one of the fastest rising stars in the business. https://t.co/lJSG1zFfHp",,,0.0,"1668246169808510980"
