"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/11/23 9:01 AM,"NewJeans Loops ?","1559527150197555200",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Mission Chicken dance Haerin Ver 

#??? #NewJeans #???? #McDonalds
#?? #Haerin https://t.co/ei4yR6EHaV",,,2027.0,"1667698534857179136"
6/12/23 9:41 AM,"NewJeans Loops ?","1559527150197555200",,"-1","und","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","#??? #NewJeans #???? #McDonalds https://t.co/k0lEYWNCHw",,,274.0,"1668070910803460100"
6/11/23 9:04 AM,"NewJeans Loops ?","1559527150197555200",,"-1","und","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","?

#??? #NewJeans #???? #McDonalds
#?? #Haerin https://t.co/cSqs359u5H",,,387.0,"1667699282844192770"
6/12/23 9:12 PM,"Ea Yan","725274372",,"-1","und","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @newjeans_loop: #??? #NewJeans #???? #McDonalds https://t.co/k0lEYWNCHw",,,274.0,"1668244830672265219"
6/12/23 9:11 PM,"Migo","3316442738",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @McDo_PH: McDonald's and NewJeans!
New mission is coming soon!

#McDonaldsxNewJeans
#McDonalds #Chicken_Dance
#McDonalds_Chicken_World h…",,,157.0,"1668244580096163840"
6/12/23 9:11 PM,"? avocadoo","1622510821548130304",,"-1","und","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @newjeans_loop: #??? #NewJeans #???? #McDonalds https://t.co/k0lEYWNCHw",,,274.0,"1668244552610910209"
6/12/23 9:07 PM,"Aly_863","1466421880475328515",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @McDo_PH: McDonald's and NewJeans!
New mission is coming soon!

#McDonaldsxNewJeans
#McDonalds #Chicken_Dance
#McDonalds_Chicken_World h…",,,157.0,"1668243530567778304"
6/12/23 9:01 PM,"??","1496017008504172544",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @newjeans_loop: Mission Chicken dance Haerin Ver 

#??? #NewJeans #???? #McDonalds
#?? #Haerin https://t.co/ei4yR6EHaV",,,2027.0,"1668242203460894720"
6/12/23 8:59 PM,"loves_.nay","1454173966940229633",,"-1","und","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @newjeans_loop: #??? #NewJeans #???? #McDonalds https://t.co/k0lEYWNCHw",,,274.0,"1668241700664295424"
6/12/23 8:55 PM,"???","1044064589577510912",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @newjeans_loop: Mission Chicken dance Hanni Ver 

#??? #NewJeans #???? #McDonalds
#?? #Hanni https://t.co/t0xpjCdn2W",,,1601.0,"1668240505443061762"
